Link_Produk,Harga,Nama_Produk,Lokasi_Produk,tipe_mobil,Platform,Tahun,Kilometer Mobil,Jenis_Mobil
https://www.olx.co.id/item/suzuki-sj410-katana-iid-929538415,135000000.0,Suzuki Katana,Pesanggrahan,manual,olx,1995,85000.0,Suzuki
https://www.olx.co.id/item/daihatsu-terios-15-tx-silver-mt-2013-iid-929210747,117000000.0,Daihatsu Terios,Pasar Minggu,manual,olx,2013,200000.0,Daihatsu
https://www.olx.co.id/item/vip-dealer-toyota-avanza-veloz-manual-2018-fulloriginal-iid-920706287,135000000.0,Toyota Avanza,Cilandak,manual,olx,2018,60000.0,Toyota
https://www.olx.co.id/item/suzuki-katana-gx-2001-antik-istimewa-tdp-10-jt-iid-928978062,65000000.0,Suzuki Katana,Kebayoran Lama,manual,olx,2001,40000.0,Suzuki
https://www.olx.co.id/item/daihatsu-xenia-2013-bensin-iid-929630159,112000000.0,Daihatsu Xenia,Cilandak,manual,olx,2013,105000.0,Daihatsu
https://www.olx.co.id/item/rush-trd-mt-14-dp-10-iid-928514148,135000000.0,Toyota Rush,Pasar Minggu,manual,olx,2014,155000.0,Toyota
https://www.olx.co.id/item/innova-reborn-diesel-iid-928530607,326500000.0,Toyota Kijang Innova,Cilandak,manual,olx,2020,60000.0,Toyota
https://www.olx.co.id/item/starlet-kotak-xl-10-ep70-tahun-1986-edisi-lisse-langka-siap-jalan-iid-922184497,34000000.0,Toyota Starlet,Pesanggrahan,manual,olx,1986,260000.0,Toyota
https://www.olx.co.id/item/2022-suzuki-jimny-4x4-3-doors-ivory-two-tone-mt-iid-928370843,470000000.0,Suzuki Jimny,Pesanggrahan,manual,olx,2022,20000.0,Suzuki
https://www.olx.co.id/item/toyota-hiace-commuter-iid-929622986,360000000.0,Toyota Hiace,Pasar Minggu,manual,olx,2012,105000.0,Toyota
https://www.olx.co.id/item/taruna-2005-csx-oxxy-antik-super-istimewa-iid-929484370,78000000.0,Daihatsu Taruna,Kebayoran Lama,manual,olx,2005,55000.0,Daihatsu
https://www.olx.co.id/item/toyota-avanza-2023-bensin-iid-929619594,210000000.0,Toyota Avanza,Cilandak,manual,olx,2023,30000.0,Toyota
https://www.olx.co.id/item/tdp-5-daihatsu-terios-2023-bensin-iid-926111397,210000000.0,Daihatsu Terios,Cilandak,manual,olx,2023,5000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-toyota-avanza-13-e-bensin-mt-2022-hitam-ezl-iid-928841015,178000000.0,Toyota Avanza,Tambun Selatan,manual,olx,2022,20000.0,Toyota
https://www.olx.co.id/item/dp-rendah-toyota-raize-10-turbo-g-bensin-mt-2022-merah-kzq-iid-929047365,164000000.0,Toyota Raize,Tambun Selatan,manual,olx,2022,45000.0,Toyota
https://www.olx.co.id/item/pajak-panjang-toyota-raize-10-g-one-tone-bensin-mt-2021-hitam-kzk-iid-929047511,152000000.0,Toyota Raize,Tambun Selatan,manual,olx,2021,55000.0,Toyota
https://www.olx.co.id/item/dp-rendah-daihatsu-xenia-13-r-bensin-mt-2014-silver-tid-iid-929047426,106000000.0,Daihatsu Xenia,Tambun Selatan,manual,olx,2014,130000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-suzuki-ignis-12-gl-bensin-mt-2021-orange-kzj-iid-929047562,123000000.0,Suzuki Ignis,Tambun Selatan,manual,olx,2021,90000.0,Suzuki
https://www.olx.co.id/item/mobil-baru-dp-5jt-suzuki-carry-pick-up-iid-929009580,135500000.0,Suzuki Carry Pick-up,Kebayoran Lama,manual,olx,2024,5000.0,Suzuki
https://www.olx.co.id/item/turun-harga-ori-4x4-km-130rb-mitsubishi-pajero-v6-3000cc-manual-1995-iid-924923665,143000000.0,Mitsubishi Pajero,Pasar Minggu,manual,olx,1995,135000.0,Mitsubishi
https://www.olx.co.id/item/toyota-calya-tdp5jt-g-manual-2023-km7rb-fulloriginal-sepertibaru-gress-iid-924418026,132000000.0,Toyota Calya,Cilandak,manual,olx,2023,10000.0,Toyota
https://www.olx.co.id/item/toyota-calya-tdp5jt-12-e-manual-2023-fulloriginal-sepertibaru-gressss-iid-921458486,123000000.0,Toyota Calya,Cilandak,manual,olx,2023,15000.0,Toyota
https://www.olx.co.id/item/daihatsu-terios-2018-bensin-iid-929617054,170000000.0,Daihatsu Terios,Kebayoran Lama,manual,olx,2018,120000.0,Daihatsu
https://www.olx.co.id/item/daihatsu-terios-2018-bensin-iid-929617051,170000000.0,Daihatsu Terios,Kebayoran Lama,manual,olx,2018,120000.0,Daihatsu
https://www.olx.co.id/item/tdp-5-toyota-rush-2021-bensin-iid-924659565,225000000.0,Toyota Rush,Cilandak,manual,olx,2021,40000.0,Toyota
https://www.olx.co.id/item/daihatsu-sigra-2024-bensin-iid-928010086,148000000.0,Daihatsu Sigra,Cilandak,manual,olx,2024,30000.0,Daihatsu
https://www.olx.co.id/item/daihatsu-sigra-2024-bensin-iid-928151367,148000000.0,Daihatsu Sigra,Cilandak,manual,olx,2024,30000.0,Daihatsu
https://www.olx.co.id/item/toyota-supra-gr-20192020-yellow-on-black-iid-929610434,1850000000.0,Toyota Supra,Kebayoran Baru,manual,olx,2020,5000.0,Toyota
