Link_Produk,Harga,tahun_KM_Mobil,Nama_Produk,Lokasi_Produk,jenis_mobil,Platform
https://www.olx.co.id/item/pajak-panjang-suzuki-sx4-15-s-cross-bensin-mt-2018-putih-ukf-iid-929283917,165000000,2018 - 30.000-35.000 km,Suzuki SX4,Pondok Melati,manual,olx
https://www.olx.co.id/item/dp-rendah-honda-brio-satya-12-e-bensin-mt-2016-abu-7pf-iid-927505334,120000000,2016 - 90.000-95.000 km,Honda Brio Satya,Tambun Selatan,manual,olx
https://www.olx.co.id/item/daihatsu-ayla-manual-2024-km2rb-perak-sepertibaru-tidakjadipakai-gress-iid-929131696,99000000,2024 - 0-5.000 km,Daihatsu Ayla,Cilandak,manual,olx
https://www.olx.co.id/item/kijang-kapsul-25-diesel-1997-iid-929541734,68000000,1997 - 295.000-300.000 km,Toyota Kijang Super,Pancoran,manual,olx
https://www.olx.co.id/item/toyota-vios-limo-2014-facelift-thailand-iid-913750576,95000000,2014 - >300.000 km,Toyota Vios,Cilandak,manual,olx
https://www.olx.co.id/item/timor-dohc-1998-bensin-iid-929471807,24000000,1998 - 155.000-160.000 km,Timor DOHC,Pesanggrahan,manual,olx
https://www.olx.co.id/item/daihatsu-zebra-1993-bagus-murah-iid-929641121,14000000,1993 - 55.000-60.000 km,Daihatsu Zebra,Pasar Minggu,manual,olx
https://www.olx.co.id/item/x-trail-20-st-manual-transmisi-2010-iid-929639363,65000000,2010 - 120.000-125.000 km,Nissan X-Trail,Cilandak,manual,olx
https://www.olx.co.id/item/km-90rb-innova-v-bensin-mt-2010-iid-929639025,149000000,2010 - 90.000-95.000 km,Toyota Kijang Innova,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/toyota-avanza-2021-bensin-iid-929635736,185000000,2021 - 65.000-70.000 km,Toyota Avanza,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/dp-4-jt-ayla-r-2022-12cc-full-ors-tgn-1-istimewa-siap-pakai-iid-929635290,109000000,2022 - 40.000-45.000 km,Daihatsu Ayla,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/kijang-kondisi-mesin-kuat-keluar-kota-iid-928690183,40500000,1996 - 115.000-120.000 km,Toyota Kijang,Cilandak,manual,olx
https://www.olx.co.id/item/dp-9-jt-daihatsu-gran-max-grand-max-minibus-1500-ac-ps-2017-iid-929632859,93000000,2017 - 100.000-105.000 km,Daihatsu Gran max,Jakarta Selatan,manual,olx
https://www.olx.co.id/item/wuling-confero-manual-2020-iid-929631970,92000000,2020 - 45.000-50.000 km,Wuling Confero,Cilandak,manual,olx
https://www.olx.co.id/item/toyota-avanza-2022-bensin-iid-929631967,180000000,2022 - 65.000-70.000 km,Toyota Avanza,Cilandak,manual,olx
https://www.olx.co.id/item/tdp-3-jt-toyota-kijang-innova-g-2013-mt-iid-929556384,139000000,2013 - 120.000-125.000 km,Toyota Kijang Innova,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/granmax-putih-2020-mulus-tgn-ke-1-oddo-36rb-iid-924925096,136000000,2020 - 25.000-30.000 km,Daihatsu Gran max,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/pajak-panjang-mitsubishi-xpander-15-sport-bensin-mt-2019-egz-iid-928750765,174000000,2019 - 30.000-35.000 km,Mitsubishi Xpander,Tambun Selatan,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-agya-12-g-trd-sportivo-bensin-mt-2018-fbb-iid-928751045,101000000,2018 - 95.000-100.000 km,Toyota Agya,Tambun Selatan,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-calya-12-g-bensin-mt-2018-silver-bzu-iid-928751409,98000000,2018 - 45.000-50.000 km,Toyota Calya,Tambun Selatan,manual,olx
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-13-x-bensin-mt-2024-silver-3ko-iid-928836060,195000000,2024 - 10.000-15.000 km,Daihatsu Xenia,Cilincing,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-sienta-15-v-bensin-mt-2017-putih-zkd-iid-928835948,155000000,2017 - 40.000-45.000 km,Toyota Sienta,Matraman,manual,olx
