Link_produk,Kilometer,Lokasi_mobil,tahun_jenis_mobil,Harga_mobil,Merek_mobil,Rating,jenis_mobil,platform
https://www.mobil123.com/dijual/wuling-confero-dki-jakarta-muara-karang/15777640,60 - 65K KM,DKI Jakarta,2021 Wuling Confero 1.5 Wagon,85000000.0,Suzuki Ertiga,5.0,manual,mobil123.com
https://www.mobil123.com/dijual/suzuki-ertiga-gl-jawa-barat-bandung/15122163,50000 KM,Jawa Barat,2017 Suzuki Ertiga 1.4 GL MPV - MT,150000000.0,Suzuki Ertiga,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/mitsubishi-lancer-1-8-glxi-dki-jakarta-kebayoran-baru/15058843,140 - 145K KM,DKI Jakarta,2004 Mitsubishi Lancer 1.8 1.8 GLXi Sedan - GLXi,49000000.0,Suzuki Jimny,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/suzuki-jimny-dki-jakarta-bintaro/15978062,40 - 45K KM,DKI Jakarta,2020 Suzuki Jimny 1.5 Wagon - Manual - LOW KM - Cash Rp380...,360000000.0,Toyota Kijang Innova,5.0,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-kijang-innova-g-jawa-tengah-susukan/15988222,130 - 135K KM,Jawa Tengah,2014 Toyota Kijang Innova 2.0 G MPV - Bensin,163000000.0,Toyota Kijang,4.7,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-rush-s-gr-sport-jawa-timur-puger/15938510,5 - 10K KM,Jawa Timur,2023 Toyota Rush 1.5 S GR Sport SUV,250000000.0,Toyota Rush,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-innova-venturer-jawa-barat-cirebon/15936075,40 - 45K KM,Jawa Barat,2021 Toyota Innova Venturer 2.0 Wagon,350000000.0,Toyota Innova Venturer,4.7,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-kijang-innova-g-jawa-barat-bandung/15315357,89000 KM,Jawa Barat,2016 Toyota Kijang Innova 2.0 G MPV,225000000.0,Toyota Kijang Innova,4.7,manual,mobil123.com
https://www.mobil123.com/dijual/bmw-318i-e36-1-8-manual-jawa-barat-bandung/16001897,178000 KM,Jawa Barat,1997 BMW 318i 1.8 E36 1.8 Manual Sedan - E36 Manual,59000000.0,BMW 318i,5.0,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-ayla-m-jawa-barat-bandung/14376191,25000 KM,Jawa Barat,"2019 Daihatsu Ayla 1.0 M Hatchback - 1,0 Manual",99000000.0,Daihatsu Ayla,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/honda-jazz-rs-jawa-barat-bandung/15936347,122000 KM,Jawa Barat,2012 Honda Jazz 1.5 RS Hatchback - MT,155000000.0,Honda Jazz,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/honda-brio-e-satya-jawa-barat-arcamanik/15876666,10 - 15K KM,Jawa Barat,2022 Honda Brio 1.2 E Satya Hatchback,152000000.0,Honda Brio,4.9,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-rush-trd-sportivo-jawa-barat-bandung/15964051,60 - 65K KM,Jawa Barat,2016 Toyota Rush 1.5 TRD Sportivo SUV - ISTIMEWA,179000000.0,Toyota Rush,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-terios-extra-x-dki-jakarta-lubang-buaya/15973100,55 - 60K KM,DKI Jakarta,"2016 Daihatsu Terios 1.5 EXTRA X SUV - Low KM, Jok 3 Baris...",140000000.0,Daihatsu Terios,4.4,manual,mobil123.com
https://www.mobil123.com/dijual/nissan-livina-x-gear-x-gear-jawa-barat-jati-asih/15915095,0 - 5K KM,Jawa Barat,2014 Nissan Livina X-Gear 1.5 X-Gear SUV - Jual,95000000.0,Nissan Livina X-Gear,4.0,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-yaris-g-dki-jakarta-duren-sawit/15906538,65 - 70K KM,DKI Jakarta,2014 Toyota Yaris 1.5 G Hatchback,130000000.0,Toyota Yaris,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/nissan-evalia-xv-dki-jakarta-duren-sawit/15648512,245 - 250K KM,DKI Jakarta,2012 Nissan Evalia 1.5 XV MPV - Pajak Panjang TDP Minim BE...,72500000.0,Nissan Evalia,4.3,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-agya-g-dki-jakarta-kota/16010677,10 - 15K KM,DKI Jakarta,2023 Toyota Agya 1.2 G Hatchback - Mobil Murah Kredit,130000000.0,Toyota Agya,4.8,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-rush-trd-sportivo-jawa-barat-bandung/15954089,3000 KM,Jawa Barat,2021 Toyota Rush 1.5 TRD Sportivo SUV - Manual LIKE NEW Lo...,233000000.0,Toyota Rush,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-agya-g-dki-jakarta-bendungan-hilir/16010741,10 - 15K KM,DKI Jakarta,2023 Toyota Agya 1.2 G Hatchback - Beli Mobil Bekas Murah ...,130000000.0,Toyota Agya,4.8,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-avanza-g-sumatera-utara-medan/16010273,175 - 180K KM,Sumatera Utara,2010 Toyota Avanza 1.3 G MPV,103000000.0,Toyota Avanza,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-ayla-r-jawa-barat-cinangka/16009776,50 - 55K KM,Jawa Barat,2019 Daihatsu Ayla 1.2 R Hatchback - MT (PROMO DP RENDAH A...,115000000.0,Daihatsu Ayla,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-avanza-e-dki-jakarta-pasar-minggu/15942680,115 - 120K KM,DKI Jakarta,2019 Toyota Avanza 1.3 E MPV,140000000.0,Toyota Avanza,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-rocky-x-jawa-timur-sukolilo/15941273,55 - 60K KM,Jawa Timur,2021 Daihatsu Rocky 1.2 X Wagon - ( Pmk 2022 ),165000000.0,Daihatsu Rocky,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/suzuki-ignis-gx-dki-jakarta-cawang/12261196?carsome=true,25 - 30K KM,DKI Jakarta,2021 Suzuki Ignis 1.2 GX Hatchback,136000000.0,Suzuki Ignis,4.8,manual,mobil123.com
https://www.mobil123.com/dijual/honda-brio-rs-dki-jakarta-mangga-besar/16006405,20 - 25K KM,DKI Jakarta,2022 Honda Brio 1.2 RS Hatchback - Cicilan Mobil DP Murah ...,154000000.0,Honda Brio,4.9,manual,mobil123.com
https://www.mobil123.com/dijual/honda-brio-satya-e-jawa-tengah-semarang/15833476,60 - 65K KM,Jawa Tengah,2014 Honda Brio 1.2 Satya E Hatchback,155000000.0,Honda Brio,4.9,manual,mobil123.com
https://www.mobil123.com/dijual/mercedes-benz-300e-dki-jakarta-kebayoran-lama/15816606,210 - 215K KM,DKI Jakarta,1990 Mercedes-Benz 300E 3.0 Sedan,47000000.0,Mercedes-Benz 300E,5.0,manual,mobil123.com
https://www.mobil123.com/dijual/honda-brio-s-satya-jawa-timur-kertajaya-indah/15857369,35 - 40K KM,Jawa Timur,2023 Honda Brio 1.2 S Satya Hatchback,155000000.0,Honda Brio,4.9,manual,mobil123.com
https://www.mobil123.com/dijual/mitsubishi-xpander-gls-jawa-barat-kiaracondong/15201446,67000 KM,Jawa Barat,"2021 Mitsubishi Xpander 1.5 GLS Wagon - 1,5 Manual",167000000.0,Mitsubishi Xpander,4.8,manual,mobil123.com
https://www.mobil123.com/dijual/bmw-x1-sdrive18i-xline-dki-jakarta-kelapa-gading/16024076,10 - 15K KM,DKI Jakarta,2019 BMW X1 1.5 sDrive18i xLine SUV,385000000.0,BMW X1,4.9,automatic,mobil123.com
https://www.mobil123.com/dijual/honda-br-v-e-prestige-dki-jakarta-kembangan/16024072,75 - 80K KM,DKI Jakarta,2017 Honda BR-V 1.5 E Prestige SUV,169000000.0,Honda BR-V,5.0,automatic,mobil123.com
https://www.mobil123.com/dijual/honda-cr-v-prestige-vtec-jawa-barat-taman-galaxi/15686612,60000 KM,Jawa Barat,2019 Honda CR-V 1.5 Prestige VTEC SUV,359000000.0,Honda CR-V,4.6,automatic,mobil123.com
https://www.mobil123.com/dijual/honda-br-v-e-banten-gading-serpong/16024063,30000 KM,Banten,"2019 Honda BR-V 1.5 E SUV - ( TDP 25jt ) 1,5 AT Hitam Meta...",185000000.0,Honda BR-V,4.6,automatic,mobil123.com
https://www.mobil123.com/dijual/honda-hr-v-e-special-edition-dki-jakarta-kelapa-gading/15707285,65 - 70K KM,DKI Jakarta,2021 Honda HR-V 1.5 E Special Edition SUV,235000000.0,Honda HR-V,4.6,automatic,mobil123.com
https://www.mobil123.com/dijual/nissan-x-trail-dki-jakarta-rawamangun/16024059,25 - 30K KM,DKI Jakarta,2017 Nissan X-Trail 2.5 SUV - Like New Low Km 30Rb Service...,189000000.0,Nissan X-Trail,4.4,automatic,mobil123.com
https://www.mobil123.com/dijual/honda-hr-v-se-banten-gading-serpong/16024060,10000 KM,Banten,"2023 Honda HR-V 1.5 SE SUV - ( TDP 60jt ) 1,5 AT Coklat Ko...",350000000.0,Honda HR-V,4.5,automatic,mobil123.com
https://www.mobil123.com/dijual/mercedes-benz-e250-avantgarde-dki-jakarta-cempaka-putih/16024056,20 - 25K KM,DKI Jakarta,2015 Mercedes-Benz E250 2.0 Avantgarde Sedan - W212 Faceli...,339000000.0,Mercedes-Benz E250,4.4,automatic,mobil123.com
https://www.mobil123.com/dijual/mercedes-benz-e250-avantgarde-dki-jakarta-menteng/16024057,20 - 25K KM,DKI Jakarta,2015 Mercedes-Benz E250 2.0 Avantgarde Sedan - W212 Faceli...,339000000.0,Mercedes-Benz E250,4.5,automatic,mobil123.com
https://www.mobil123.com/dijual/mercedes-benz-e250-avantgarde-dki-jakarta-senen/16024058,20 - 25K KM,DKI Jakarta,2015 Mercedes-Benz E250 2.0 Avantgarde Sedan - W212 Faceli...,339000000.0,Mercedes-Benz E250,4.5,automatic,mobil123.com
https://www.mobil123.com/dijual/mercedes-benz-e250-avantgarde-dki-jakarta-cempaka-putih/16024055,25 - 30K KM,DKI Jakarta,2015 Mercedes-Benz E250 2.0 Avantgarde Sedan - W212 Faceli...,339000000.0,Mercedes-Benz E250,4.5,automatic,mobil123.com
https://www.mobil123.com/dijual/mazda-biante-2-0-skyactiv-a-t-dki-jakarta-kelapa-gading/16024052,80 - 85K KM,DKI Jakarta,2017 Mazda Biante 2.0 2.0 SKYACTIV A/T MPV - SKYACTIV A T ...,168000000.0,Mazda Biante,4.5,automatic,mobil123.com
https://www.mobil123.com/dijual/mitsubishi-pajero-sport-dakar-dki-jakarta-percetakan-negara/16024046,40 - 45K KM,DKI Jakarta,2020 Mitsubishi Pajero Sport 2.4 Dakar SUV - NIK 2019 LOW ...,399000000.0,Mitsubishi Pajero Sport,4.8,automatic,mobil123.com
https://www.mobil123.com/dijual/toyota-voxy-banten-gading-serpong/16024048,50000 KM,Banten,"2018 Toyota Voxy 2.0 Wagon - ( TDP 20jt ) 2,0 Base Spec AT...",335000000.0,Toyota Voxy,4.8,automatic,mobil123.com
